"Fase / CCP","Parametro controllato","Limite critico (valore da non superare)","Valore target consigliato","Note / Riferimenti normativi e linee guida"
"Frigo (prodotti refrigerati)","Temperatura interna del frigorifero","≤ +4 °C","'+2 / +4 °C","Reg. 853/2004 (carni, pesce, latte), linee guida Ministero/Regioni; per la maggior parte dei deperibili (latticini, carni, pesce, piatti pronti)."
"Freezer / Congelatori","Temperatura interna del congelatore","≤ −18 °C","≤ −18 °C (es. −20 °C)","Reg. 853/2004 e direttiva surgelati; prodotti congelati e surgelati."
"Ricevimento merci – prodotti refrigerati","Temperatura al arrivo (sonda o infrarosso + conferma a cuore se necessario)","≤ +4 °C","0 / +4 °C","Buone pratiche di ricevimento; merci con T > +4 °C considerate non conformi."
"Ricevimento merci – prodotti congelati/surgelati","Temperatura al arrivo","≤ −18 °C","≤ −18 °C","Catena del freddo per surgelati; piccole fluttuazioni brevi vanno valutate caso per caso."
"Cottura – carni rosse (pezzi interi)","Temperatura al cuore","≥ +63 °C (minimo normativo di base)","≥ +68–70 °C","Reg. 852/2004 + linee guida HACCP ristorazione; per maggiore sicurezza si usa spesso ≥ +70 °C."
"Cottura – carni bianche (pollo, tacchino)","Temperatura al cuore","≥ +74–75 °C","≥ +75 °C","Linee guida italiane per pollame; abbattimento patogeni (es. Salmonella)."
"Cottura – preparazioni a base di carne/pesce (polpette, hamburger, ripieni, ecc.)","Temperatura al cuore","≥ +70–72 °C","≥ +72 °C","Prodotti tritati e miscelati: maggiore rischio → cottura più spinta."
"Cottura – pesce","Temperatura al cuore","≥ +63–65 °C","≥ +70 °C","Reg. 853/2004 + linee guida; molti piani HACCP fissano ≥ +70 °C per uniformità."
"Cottura – piatti complessi (lasagne, paste ripiene, casseruole, ecc.)","Temperatura al cuore","≥ +70–72 °C","≥ +72 °C","Prassi consolidata nella ristorazione collettiva e alberghiera."
"Raffreddamento / Abbattimento (dopo cottura)","Tempo per passare da +65 °C a +10 °C","≤ 2 ore (alcune linee: ≤ 90 min)","≤ 90 minuti","Linee guida Ministero/Regioni per raffreddamento rapido; evitare permanenza in “zona di pericolo” (+10 / +60 °C)."
"Conservazione piatti cotti pronti (in frigo)","Temperatura di conservazione","≤ +4 °C","'+2 / +4 °C","Reg. 852/2004; durata massima definita nel piano (es. 24–48 h)."
"Buffet freddo (colazione, aperitivi, ecc.)","Temperatura alimenti esposti (deperibili)","≤ +5 °C","≤ +4 °C","Linee guida HACCP ristorazione; banchi refrigerati, ghiaccio, ecc."
"Buffet caldo","Temperatura alimenti esposti","≥ +60–65 °C","≥ +65 °C","Mantenere fuori dalla “zona di pericolo” (+10 / +60 °C)."
"Alimenti deperibili a temperatura ambiente (es. durante allestimento)","Tempo di esposizione","≤ 2 ore (alcune linee: 1–2 ore)","≤ 1–2 ore","Linee guida HACCP; oltre questo tempo, valutare scarto."
